"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"VNET","21Vianet Group, Inc.","16.16","954248000","n/a","China","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"JOBS","51job, Inc.","71.12","2090204922.96","n/a","China","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"ACTS","Actions Semiconductor Co., Ltd.","2.38","204680000","n/a","China","2005","Technology","Semiconductors","http://www.nasdaq.com/symbol/acts",
"ASX","Advanced Semiconductor Engineering, Inc.","4.68","7123075413.48","n/a","Taiwan","1996","Technology","Semiconductors","http://www.nasdaq.com/symbol/asx",
"ATE","Advantest Corporation (Kabushiki Kaisha Advantest) ADS","11.79","2053759686.66","n/a","Japan","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/ate",
"AMCN","AirMedia Group Inc","1.82","111122360.44","n/a","China","1995","Technology","Advertising","http://www.nasdaq.com/symbol/amcn",
"ACH","Aluminum Corporation of China Limited","9.17","4960782152.55","n/a","China","1993","Basic Industries","Aluminum","http://www.nasdaq.com/symbol/ach",
"ALN","American Lorain Corporation","0.75","25962535.5","n/a","China","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/aln",
"AMCF","Andatee China Marine Fuel Services Corporation","1.73","17058075.07","n/a","China","2010","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/amcf",
"AERL","Asia Entertainment & Resources Ltd","3.83","229952142.92","n/a","Hong Kong","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/aerl",
"APWC","Asia Pacific Wire & Cable Corporation Limited","3.8","52549702.2","n/a","Taiwan","n/a","Basic Industries","Telecommunications Equipment","http://www.nasdaq.com/symbol/apwc",
"ASIA","AsiaInfo-Linkage, Inc.","11.64","848283251.52","n/a","China","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/asia",
"ATAI","ATA Inc.","4.95","112117500","n/a","China","2008","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/atai",
