"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"AOSL","Alpha and Omega Semiconductor Limited","8.34","214054648.5","n/a","Bermuda","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/aosl",
"ASI","American Safety Insurance Holdings, Ltd.","30.21","291276693.51","n/a","Bermuda","1998","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/asi",
"ACGL","Arch Capital Group Ltd.","54.155","7225380137.35","n/a","Bermuda","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/acgl",
"ARH^C","Arch Capital Group Ltd.","24.05","0","n/a","Bermuda","n/a","n/a","n/a","http://www.nasdaq.com/symbol/arh^c",
"AGII","Argo Group International Holdings, Ltd.","43.03","1147311729.98","n/a","Bermuda","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/agii",
"AGIIL","Argo Group International Holdings, Ltd.","22.0699","0","n/a","Bermuda","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/agiil",
"AHL","Aspen Insurance Holdings Limited","36.38","2456260820.2","n/a","Bermuda","2003","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ahl",
"AHL^A","Aspen Insurance Holdings Limited","25.56","0","n/a","Bermuda","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ahl^a",
"AHL^B","Aspen Insurance Holdings Limited","25.08","0","n/a","Bermuda","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ahl^b",
"AHL^C","Aspen Insurance Holdings Limited","23.45","0","n/a","Bermuda","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ahl^c",
"AGO","Assured Guaranty Ltd.","19.2","3513333600","n/a","Bermuda","1987","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ago",
"AGO^B","Assured Guaranty Ltd.","24.05","0","n/a","Bermuda","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ago^b",
"AGO^E","Assured Guaranty Ltd.","22","0","n/a","Bermuda","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ago^e",
"AGO^F","Assured Guaranty Ltd.","20.53","0","n/a","Bermuda","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ago^f",
"AXS","Axis Capital Holdings Limited","43.25","4944548205.5","n/a","Bermuda","1992","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/axs",
"AXS^C","Axis Capital Holdings Limited","23.66","0","n/a","Bermuda","n/a","n/a","n/a","http://www.nasdaq.com/symbol/axs^c",
"AXS^D","Axis Capital Holdings Limited","19.79","0","n/a","Bermuda","n/a","n/a","n/a","http://www.nasdaq.com/symbol/axs^d",
"CETV","Central European Media Enterprises Ltd.","5.27","708725067.45","n/a","Bermuda","1994","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/cetv",
"CWCO","Consolidated Water Co. Ltd.","14.79","216562160.88","n/a","Cayman Islands","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/cwco",
"DRL","Doral Financial Corporation","19.22","127830221.12","n/a","Puerto Rico","1980","Finance","Commercial Banks","http://www.nasdaq.com/symbol/drl",
"EXXI","Energy XXI (Bermuda) Limited","30.47","2309599978.62","n/a","Bermuda","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/exxi",
"ESGR","Enstar Group Limited","137.13","2279933116.23","n/a","Bermuda","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/esgr",
"RE","Everest Re Group, Ltd.","145.45","7072447342.75","n/a","Bermuda","1993","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/re",
"FBP","First BanCorp.","5.67","1173639848.85","n/a","Puerto Rico","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fbp",
"FDP","Fresh Del Monte Produce, Inc.","30.14","1669307908.62","n/a","Cayman Islands","1997","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/fdp",
"FRO","Frontline Ltd.","2.62","203989275.24","n/a","Bermuda","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/fro",
"GSOL","Global Sources Ltd.","7.51","258318315.8","n/a","Bermuda","n/a","Consumer Services","Advertising","http://www.nasdaq.com/symbol/gsol",
"GLNG","Golar LNG Limited","38.53","3102401385.36","n/a","Bermuda","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/glng",
"GMLP","Golar LNG Partners LP","32.78","1852493747.06","n/a","Bermuda","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/gmlp",
"GLRE","Greenlight Reinsurance, Ltd.","28.36","1045693039.6","n/a","Cayman Islands","2007","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/glre",
"HELE","Helen of Troy Limited","43.96","1405748000.44","n/a","Bermuda","1971","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/hele",
"HLSS","Home Loan Servicing Solutions, Ltd.","22","1562368962","n/a","Cayman Islands","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/hlss",
"VLCCF","Knightsbridge Tankers Limited","10.18","249125580.98","n/a","Bermuda","1997","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/vlccf",
"MH^A","Maiden Holdings, Ltd.","25.27","0","n/a","Bermuda","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mh^a",
"MHLD","Maiden Holdings, Ltd.","12.11","878210430.51","n/a","Bermuda","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/mhld",
