"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ABB","ABB Ltd","23.81","54677221046.36","n/a","Switzerland","n/a","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/abb",
"ACN","Accenture plc.","74.09","50065387670.5","n/a","Ireland","1986","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn",
"ACE","Ace Limited","94.32","32079981258.72","n/a","Switzerland","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ace",
"AEB","Aegon NV","20.71","0","n/a","Netherlands","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeb",
"AED","Aegon NV","23.29","0","n/a","Netherlands","1995","Finance","Life Insurance","http://www.nasdaq.com/symbol/aed",
"AEF","Aegon NV","25.01","0","n/a","Netherlands","1990","Finance","Life Insurance","http://www.nasdaq.com/symbol/aef",
"AEG","Aegon NV","7.47","14265115760.97","n/a","Netherlands","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeg",
"AEH","Aegon NV","23.15","0","n/a","Netherlands","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeh",
"AEK","Aegon NV","27","0","n/a","Netherlands","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aek",
"AEV","Aegon NV","24.27","0","n/a","Netherlands","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aev",
"AIXG","Aixtron SE","17.04","1723350624","n/a","Germany","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aixg",
"ALU","Alcatel Lucent","3.65","8502424000.45","n/a","France","1989","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/alu",
"ALKS","Alkermes plc","33.64","4564684632.44","n/a","Ireland","1991","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alks",
"AWH","Allied World Assurance Company Holdings, AG","99.91","3396536763.24","n/a","Switzerland","2006","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/awh",
"ASPS","Altisource Portfolio Solutions S.A.","141.9","3262906069.5","n/a","Luxembourg","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/asps",
"AMRN","Amarin Corporation PLC","6.55","1130621785.15","n/a","Ireland","1995","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amrn",
"AQU","Aquasition Corp.","10.0301","73274895.55","n/a","United Kingdom","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/aqu",
"AQUUU","Aquasition Corp.","10.27","67656192.5","n/a","United Kingdom","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/aquuu",
"AQUUW","Aquasition Corp.","0.32","0","n/a","United Kingdom","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/aquuw",
"MT","ArcelorMittal","13.82","21407180000","n/a","Luxembourg","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/mt",
"MTCN","ArcelorMittal","21.57","0","n/a","Luxembourg","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/mtcn",
"ARMH","ARM Holdings plc","48.86","22761814257.84","n/a","United Kingdom","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/armh",
"ASMI","ASM International N.V.","34.61","2186417530","n/a","Netherlands","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asmi",
"ASML","ASML Holding N.V.","98.45","43639279071.85","n/a","Netherlands","1995","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asml",
"AZN","Astrazeneca PLC","51.77","64820693035.83","n/a","United Kingdom","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/azn",
"ALV","Autoliv, Inc.","87.74","8400856169.36","n/a","Sweden","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/alv",
"AV","Aviva plc","13.02","18916191226.38","n/a","United Kingdom","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/av",
"AVV","Aviva plc","27.47","0","n/a","United Kingdom","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/avv",
"BBVA","Banco Bilbao Viscaya Argentaria S.A.","11.18","60918137913.1","n/a","Spain","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bbva",
"SAN","Banco Santander, S.A.","8.21","77462229939.59","n/a","Spain","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/san",
"SAN^A","Banco Santander, S.A.","24.8","0","n/a","Spain","n/a","n/a","n/a","http://www.nasdaq.com/symbol/san^a",
"SAN^B","Banco Santander, S.A.","18.2384","0","n/a","Spain","n/a","n/a","n/a","http://www.nasdaq.com/symbol/san^b",
"SAN^C","Banco Santander, S.A.","24.41","0","n/a","Spain","n/a","n/a","n/a","http://www.nasdaq.com/symbol/san^c",
"SAN^E","Banco Santander, S.A.","26.4","0","n/a","Spain","n/a","n/a","n/a","http://www.nasdaq.com/symbol/san^e",
"SAN^F","Banco Santander, S.A.","1000","0","n/a","Spain","n/a","n/a","n/a","http://www.nasdaq.com/symbol/san^f",
"SAN^I","Banco Santander, S.A.","23.03","0","n/a","Spain","n/a","n/a","n/a","http://www.nasdaq.com/symbol/san^i",
"BCS","Barclays PLC","17.14","55137555378.44","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bcs",
"BCS^","Barclays PLC","24.46","0","n/a","United Kingdom","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bcs^",
"BCS^A","Barclays PLC","25.03","0","n/a","United Kingdom","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bcs^a",
"BCS^C","Barclays PLC","25.23","0","n/a","United Kingdom","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bcs^c",
"BCS^D","Barclays PLC","25.38","0","n/a","United Kingdom","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bcs^d",
