"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ADHD","Alcobra Ltd.","18.71","208183999.64","n/a","Israel","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adhd",
"ALLT","Allot Communications Ltd.","12.93","421703636.01","n/a","Israel","2006","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/allt",
"BSI","Alon Blue Square Israel Ltd.","3.77","248648189.79","n/a","Israel","1996","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/bsi",
"ALVR","Alvarion Ltd.","0.5826","5209676.7816","n/a","Israel","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/alvr",
"ATTU","Attunity Ltd.","8.39","92659915.1","n/a","Israel","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/attu",
"AUDC","AudioCodes Ltd.","7.12","271610769.6","n/a","Israel","1999","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/audc",
"BCOM","B Communications Ltd.","18.64","557131798.8","n/a","Israel","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/bcom",
"BOSC","B.O.S. Better Online Solutions","3.71","4361824.74","n/a","Israel","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/bosc",
"BPHX","BluePhoenix Solutions, Ltd.","4.5","48051292.5","n/a","Israel","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/bphx",
"CSTE","CaesarStone Sdot-Yam Ltd.","46.16","1596837298.64","n/a","Israel","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cste",
"CAMT","Camtek Ltd.","1.68","50477070","n/a","Israel","2000","Capital Goods","Electronic Components","http://www.nasdaq.com/symbol/camt",
"CRNT","Ceragon Networks Ltd.","4.19","154222033.92","n/a","Israel","1991","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/crnt",
"CHKP","Check Point Software Technologies Ltd.","56.49","11096685061.77","n/a","Israel","1996","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/chkp",
"CIMT","Cimatron, Limited","5.94","61757568.18","n/a","Israel","1996","Technology","EDP Services","http://www.nasdaq.com/symbol/cimt",
"CKSW","ClickSoftware Technologies Ltd.","6.28","199554900.24","n/a","Israel","2000","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cksw",
"CGEN","Compugen Ltd.","9.62","369037149","n/a","Israel","1981","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cgen",
"EMITF","Elbit Imaging Ltd.","1.21","30132398.89","n/a","Israel","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/emitf",
"ESLT","Elbit Systems Ltd.","53.3","2253889531.4","n/a","Israel","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/eslt",
"ELLO","Ellomay Capital Ltd.","8.85","94627483.35","n/a","Israel","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/ello",
"ELTK","Eltek Ltd.","1.27","8394835.89","n/a","Israel","1997","Technology","Electrical Products","http://www.nasdaq.com/symbol/eltk",
"ENZY          ","Enzymotec Ltd.","18.16","0","n/a","Israel","1992","n/a","n/a","http://www.nasdaq.com/symbol/enzy          ",
"EZCH","EZchip Semiconductor Limited","24.83","712285397.72","n/a","Israel","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/ezch",
"FORTY","Formula Systems (1985) Ltd.","24.91","353096609.54","n/a","Israel","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/forty",
"WILC","G. Willi-Food International,  Ltd.","7.09","91987397.05","n/a","Israel","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/wilc",
"GILT","Gilat Satellite Networks Ltd.","4.97","208867952.65","n/a","Israel","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/gilt",
"GIVN","Given Imaging Ltd.","19.21","608115909.36","n/a","Israel","2001","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/givn",
"INXB","Infinity Cross Border Acquisition Corporation","7.86","56493750","n/a","Israel","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/inxb",
"INXBU","Infinity Cross Border Acquisition Corporation","8.41","0","n/a","Israel","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/inxbu",
"INXBW","Infinity Cross Border Acquisition Corporation","0.65","0","n/a","Israel","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/inxbw",
"NSPR","InspireMD, Inc.","2.37","81794786.16","n/a","Israel","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/nspr",
"IGLD","Internet Gold Golden Lines Ltd.","10.15","194912337.9","n/a","Israel","1999","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/igld",
"ITRN","Ituran Location and Control Ltd.","18.45","433121701.95","n/a","Israel","1984","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/itrn",
"KMDA","Kamada Ltd.","15.3","538477349.4","n/a","Israel","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/kmda",
"MAGS","Magal Security Systems Ltd.","3.48","56193376.56","n/a","Israel","1993","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/mags",
"MGIC","Magic Software Enterprises Ltd.","6.91","254634087.35","n/a","Israel","1991","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/mgic",
"CALL","magicJack VocalTec Ltd","13.11","245390659.53","n/a","Israel","1992","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/call",
"MZOR","Mazor Robotics Ltd.","16.95","247847052.75","n/a","Israel","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/mzor",
"MTSL","MER Telemanagement Solutions Ltd.","1.7191","8020559.0387","n/a","Israel","1997","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/mtsl",
"MNDO","MIND C.T.I. Ltd.","1.67","31364968.06","n/a","Israel","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/mndo",
"NICE","NICE-Systems Limited","40.86","2744067667.14","n/a","Israel","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/nice",
"NVMI","Nova Measuring Instruments Ltd.","8.9","242275328.3","n/a","Israel","2000","Capital Goods","Electronic Components","http://www.nasdaq.com/symbol/nvmi",
"OTIV","On Track Innovations Ltd","1.58","50964182.96","n/a","Israel","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/otiv",
"OBAS","Optibase Ltd.","6.47","24709259.97","n/a","Israel","1999","Finance","Real Estate","http://www.nasdaq.com/symbol/obas",
