"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"APSA","Alto Palermo S.A.","18.72","58974570.72","n/a","Argentina","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/apsa",
"BBD","Banco Bradesco Sa","14.08","59238418469.12","n/a","Brazil","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bbd",
"BBDO","Banco Bradesco Sa","15.7602","60168805846.3962","n/a","Brazil","n/a","Capital Goods","Miscellaneous","http://www.nasdaq.com/symbol/bbdo",
"BFR","BBVA Banco Frances S.A.","6.49","1161445746.67","n/a","Argentina","1993","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bfr",
"BGSC","BGS Acquisition Corp.","10.01","53386663.33","n/a","Argentina","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/bgsc",
"BGSCU","BGS Acquisition Corp.","10.07","53706663.31","n/a","Argentina","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/bgscu",
"BGSCW","BGS Acquisition Corp.","0.18","0","n/a","Argentina","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/bgscw",
"LND","Brasilagro Cia Brasileira De Propriedades Agricolas","4.36","254721664","n/a","Brazil","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/lnd",
"BAK","Braskem S.A.","15.79","6294409922.46","n/a","Brazil","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/bak",
"BRFS","BRF S.A.","24.6","21462841851.6","n/a","Brazil","n/a","Consumer Non-Durables","Meat/Poultry/Fish","http://www.nasdaq.com/symbol/brfs",
"EBR","Centrais Electricas Brasileiras SA","2.71","3665638411","n/a","Brazil","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/ebr",
"CBD","Companhia Brasileira de Distribuicao","46.58","12310721360","n/a","Brazil","1997","Consumer Services","Food Chains","http://www.nasdaq.com/symbol/cbd",
"ABV","Companhia de Bebidas das Americas - AmBev","38.66","120586802920","n/a","Brazil","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/abv",
"SBS","Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp","9.94","6794088097.86","n/a","Brazil","2002","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/sbs",
"ELP","Companhia Paranaense de Energia (COPEL)","13.91","3806541050","n/a","Brazil","1997","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/elp",
"CRESW","Cresud S.A.C.I.F. y A.","0.03","0","n/a","Argentina","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/cresw",
"CRESY","Cresud S.A.C.I.F. y A.","8.83","438464246","n/a","Argentina","1997","Finance","Real Estate","http://www.nasdaq.com/symbol/cresy",
"ERJ","Embraer-Empresa Brasileira de Aeronautica","33.33","6079079897.88","n/a","Brazil","2000","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/erj",
"FBR","Fibria Celulose S.A.","11.71","6486574704.66","n/a","Brazil","1989","Basic Industries","Paper","http://www.nasdaq.com/symbol/fbr",
"GFA","Gafisa SA","3.27","711387738.09","n/a","Brazil","2007","Basic Industries","Homebuilding","http://www.nasdaq.com/symbol/gfa",
"GGB","Gerdau S.A.","7.54","12823069760.28","n/a","Brazil","n/a","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/ggb",
"GGAL","Grupo Financiero Galicia S.A.","9.69","1202923383","n/a","Argentina","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/ggal",
"IRS","IRSA Inversiones Y Representaciones S.A.","8.82","510392637.72","n/a","Argentina","n/a","Consumer Services","Homebuilding","http://www.nasdaq.com/symbol/irs",
"ITUB","Itau Unibanco Banco Holding SA","14.3","71033713608","n/a","Brazil","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/itub",
"BMA","Macro Bank Inc.","23.21","1379800056.36","n/a","Argentina","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bma",
"MELI","MercadoLibre, Inc.","135.45","5980514774.85","n/a","Argentina","1997","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/meli",
"SID","National Steel Company","4.36","6356749670.88","n/a","Brazil","n/a","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/sid",
"NETC","NET Servicos de Comunicacao S.A.","12.32","4225311564.32","n/a","Brazil","1994","Consumer Services","Television Services","http://www.nasdaq.com/symbol/netc",
"NTL","Nortel Inversora SA","19.3","2625130030","n/a","Argentina","1997","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ntl",
"OIBR","Oi S.A.","1.96","4217150592.2","n/a","Brazil","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/oibr",
"PZE","Petrobras Argentina S.A.","5.58","1126602000","n/a","Argentina","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pze",
"PBR","Petroleo Brasileiro S.A.- Petrobras","15.4","100442626361","n/a","Brazil","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pbr",
"PBR/A","Petroleo Brasileiro S.A.- Petrobras","16.47","0","n/a","Brazil","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pbr/a",
"TEO","Telecom Argentina Stet - France Telecom S.A.","18.13","3557496864.67","n/a","Argentina","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/teo",
"VIV","Telefonica Brasil S.A.","22.33","25082602218.52","n/a","Brazil","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/viv",
"TSU","TIM Participacoes S.A.","23.09","11164627554.61","n/a","Brazil","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/tsu",
"UGP","Ultrapar Participacoes S.A.","24.52","13348295581.92","n/a","Brazil","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/ugp",
"VALE","VALE S.A.","15.6","111089110891.2","n/a","Brazil","1991","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/vale",
"YPF","YPF Sociedad Anonima","20.6","8102243535.8","n/a","Argentina","1993","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/ypf",
